Wall time,Step,Value
1731225607.9843724,29086,-137.9300079345703
1731225608.3424017,29102,-138.98313903808594
1731225608.5591652,29114,-137.0317840576172
1731225609.5024369,29157,-136.5102996826172
1731225610.982131,29225,-139.9923858642578
1731225612.2566304,29287,-139.81556701660156
1731225616.71895,29495,-140.59237670898438
1731225616.9319422,29502,-138.7366180419922
1731225617.092569,29511,-135.5497283935547
1731225618.1763084,29561,-138.2711944580078
1731225618.2323103,29564,-138.53294372558594
1731225618.7348027,29585,-139.79640197753906
1731225619.375155,29616,-138.90432739257812
1731225619.7946365,29635,-137.2311248779297
1731225622.6034462,29771,-134.30508422851562
1731225624.3938532,29852,-139.48187255859375
1731225624.4108546,29853,-136.7781982421875
1731225625.0965095,29887,-135.97494506835938
1731225627.9191806,30024,-137.81234741210938
1731225628.0848687,30029,-138.60586547851562
1731225628.6595564,30055,-140.6146697998047
1731225629.6759126,30101,-142.96324157714844
1731225629.9504473,30116,-137.67471313476562
1731225631.6759963,30198,-137.0213165283203
1731225632.6450188,30241,-140.56651306152344
1731225633.1922631,30267,-139.79498291015625
1731225634.0824213,30308,-139.9783477783203
1731225635.004405,30351,-139.61782836914062
1731225637.7574766,30483,-137.6997833251953
1731225637.876989,30490,-137.96974182128906
1731225637.9505045,30494,-138.11407470703125
1731225640.096768,30596,-139.6114959716797
1731225640.9702206,30636,-140.22708129882812
1731225642.9879394,30730,-140.2842559814453
1731225643.2439373,30744,-136.0333251953125
1731225643.644154,30762,-141.31951904296875
1731225644.6052055,30804,-140.4259033203125
1731225650.6078317,31076,-136.2133331298828
1731225651.693899,31129,-139.29531860351562
1731225654.1639366,31248,-137.1175537109375
1731225658.1145117,31430,-137.0938720703125
1731225658.8466284,31467,-137.37045288085938
1731225660.8792553,31561,-137.52154541015625
1731225664.2321153,31720,-137.9698486328125
1731225664.7704663,31746,-137.8770294189453
1731225665.6939433,31786,-134.11404418945312
1731225666.7402134,31832,-137.53005981445312
1731225668.0511274,31897,-138.85617065429688
1731225668.2521727,31904,-138.32504272460938
1731225668.4081845,31912,-137.75460815429688
1731225669.419249,31960,-133.80223083496094
1731225669.5800958,31969,-135.44662475585938
1731225670.89169,32028,-134.585693359375
1731225671.1212626,32041,-137.32977294921875
1731225674.2337325,32186,-135.2818603515625
1731225674.4483523,32198,-137.12657165527344
1731225675.2038162,32231,-137.14910888671875
1731225676.0660853,32273,-134.92800903320312
1731225677.4966109,32338,-140.2054443359375
1731225679.0798228,32412,-136.8902130126953
1731225680.1052577,32459,-140.1305694580078
1731225681.4698842,32524,-137.63446044921875
1731225682.138793,32553,-137.6793670654297
1731225682.3775284,32566,-137.44659423828125
1731225683.8600862,32635,-135.95529174804688
1731225683.9165912,32638,-137.33447265625
1731225684.846672,32681,-136.0867919921875
1731225685.8752708,32730,-137.18771362304688
1731225687.059907,32786,-137.3394012451172
1731225689.8574753,32918,-136.99928283691406
1731225690.0700426,32926,-137.27748107910156
1731225690.191064,32933,-138.67079162597656
1731225692.1697903,33026,-136.58750915527344
1731225692.389011,33038,-139.9924774169922
1731225692.835436,33058,-137.5041046142578
1731225695.2041883,33172,-134.9522247314453
1731225695.3499143,33176,-134.66085815429688
1731225695.9236078,33203,-137.07655334472656
1731225695.9601645,33205,-137.10508728027344
1731225697.8567622,33295,-135.12734985351562
1731225699.3817546,33365,-135.84597778320312
1731225699.9459107,33392,-137.0548095703125
1731225700.0810812,33399,-136.64697265625
1731225700.1996744,33402,-137.94610595703125
1731225700.7428503,33427,-141.59898376464844
1731225703.5841157,33563,-138.4245147705078
1731225705.5799882,33655,-137.10769653320312
1731225705.7035387,33662,-134.38536071777344
